1	0.8	4	5
2	0.6	3	5
3	0.8	4	5
4	0.6	3	5
5	0.8	4	5
6	0.8	4	5
7	0.6	3	5
8	0.6	3	5
9	0.6	3	5
10	0.8	4	5
11	0.4	2	5
12	0.8	4	5
13	0.6	3	5
14	0.8	4	5
15	0.6	3	5
16	0.6	3	5
17	0.6	3	5
18	0.8	4	5
19	1.0	5	5
20	1.0	5	5
21	0.8	4	5
22	0.2	1	5
23	0.8	4	5
24	0.2	1	5
25	1.0	5	5
26	0.4	2	5
27	0.4	2	5
28	0.6	3	5
29	0.6	3	5
30	0.8	4	5
31	0.8	4	5
32	0.8	4	5
33	0.6	3	5
34	1.0	5	5
35	0.2	1	5
36	0.6	3	5
37	0.8	4	5
38	1.0	5	5
39	1.0	5	5
40	0.8	4	5
41	0.6	3	5
42	0.8	4	5
43	0.8	4	5
44	0.8	4	5
45	0.8	4	5
46	1.0	5	5
47	0.6	3	5
48	0.6	3	5
49	0.8	4	5
50	0.6	3	5
51	0.2	1	5
52	0.8	4	5
53	0.6	3	5
54	0.6	3	5
55	0.4	2	5
56	0.6	3	5
57	0.6	3	5
58	0.6	3	5
59	0.8	4	5
60	0.4	2	5
61	0.8	4	5
62	1.0	5	5
63	0.4	2	5
64	0.6	3	5
65	1.0	5	5
66	0.8	4	5
67	0.6	3	5
68	1.0	5	5
69	0.6	3	5
70	0.6	3	5
71	0.8	4	5
72	0.2	1	5
73	0.6	3	5
74	0.4	2	5
75	0.6	3	5
76	0.6	3	5
77	0.8	4	5
78	0.4	2	5
79	0.8	4	5
80	0.4	2	5
81	0.4	2	5
82	0.8	4	5
83	0.6	3	5
84	0.8	4	5
85	0.8	4	5
86	0.8	4	5
87	0.8	4	5
88	0.4	2	5
89	0.4	2	5
90	0.8	4	5
91	0.8	4	5
92	0.4	2	5
93	0.6	3	5
94	0.8	4	5
95	0.6	3	5
96	0.4	2	5
97	1.0	5	5
98	0.6	3	5
99	0.4	2	5
100	1.0	5	5
141	0.6	3	5
142	0.8	4	5
143	0.6	3	5
144	1.0	5	5
145	1.0	5	5
146	0.4	2	5
147	0.6	3	5
148	1.0	5	5
149	0.8	4	5
150	0.8	4	5
151	0.6	3	5
152	0.8	4	5
153	0.8	4	5
154	0.6	3	5
155	0.8	4	5
156	0.6	3	5
157	0.8	4	5
158	0.8	4	5
159	0.8	4	5
160	0.6	3	5
161	0.4	2	5
162	0.8	4	5
163	0.8	4	5
164	0.6	3	5
165	0.2	1	5
