	dbpedia	PRoV	desc	1.0562306876712735
top5	lmdb	GFoP	faces	4.902043324698772	0.955158284958363
top5	lmdb	GFoP	faces_e	4.943855893499522	0.9633054225620238
top5	lmdb	GFoP	cd	5.029803926202644	0.9800523115784124
top5	lmdb	GFoP	linksum	4.9203564507672555	0.9587265794284805
top5	lmdb	GFoP	bafrec	5.2355986377158885	1.0201512072189505
top5	lmdb	GFoP	kafca	4.891754381258026	0.9531534945230397
top5	lmdb	GFoP	mpsum	5.020813093912887	0.9783004568147134
top5	lmdb	GFoP	esa	5.28021262981272	1.0288441993762514
top5	lmdb	GFoP	deeplens	5.147895275551019	1.00306229399609
	lmdb	GFoV	desc	1.5008992514904247
top5	lmdb	GFoV	gold	2.013374563200869	1.341445510883922
top5	lmdb	GFoV	relin	0.8886978440606604	0.5921102586853613
top5	lmdb	GFoV	diversum	1.5152263039951421	1.009545645712389
top5	lmdb	GFoV	faces	1.6676167634790113	1.1110784163714071
top5	lmdb	GFoV	faces_e	1.999696674308421	1.332332381619006
top5	lmdb	GFoV	cd	0.9013653807777635	0.6005502233961997
top5	lmdb	GFoV	linksum	1.9113551661502937	1.273473328907505
top5	lmdb	GFoV	bafrec	2.36641714887721	1.5766662196195431
top5	lmdb	GFoV	kafca	1.9804138581233799	1.3194848729232072
top5	lmdb	GFoV	mpsum	1.8933613327972763	1.2614846272440527
top5	lmdb	GFoV	esa	1.8484588621830988	1.2315675821328713
top5	lmdb	GFoV	deeplens	2.0969967237453635	1.3971602168919741
	lmdb	IoPV	desc	5.059089769991894
top5	lmdb	IoPV	gold	4.371752493271686	0.8641381537056003
top5	lmdb	IoPV	relin	5.825956152393909	1.1515818886928435
top5	lmdb	IoPV	diversum	5.005982495487753	0.9895026028557256
top5	lmdb	IoPV	faces	4.7960721031230875	0.9480108717522859
top5	lmdb	IoPV	faces_e	4.4141480441085195	0.8725182285341404
top5	lmdb	IoPV	cd	5.825956152393909	1.1515818886928435
top5	lmdb	IoPV	linksum	4.534455199758131	0.8962986240438655
top5	lmdb	IoPV	bafrec	3.957303792657695	0.7822165592179313
top5	lmdb	IoPV	kafca	4.46922249500648	0.8834044656641149
top5	lmdb	IoPV	mpsum	4.595297935994491	0.908325043617847
top5	lmdb	IoPV	esa	4.515582951544864	0.8925682596757122
top5	lmdb	IoPV	deeplens	4.25239095056909	0.840544671848332
	dsfaces	PRoV	desc	0.9967520828049546
top5	dsfaces	PRoV	gold	1.3025237673212562	1.3067680417138745
top5	dsfaces	PRoV	relin	0.45328902543151706	0.4547660679633785
top5	dsfaces	PRoV	diversum	1.0302051513917532	1.0335620754286847
top5	dsfaces	PRoV	faces	1.8666916625035181	1.8727742782843968
top5	dsfaces	PRoV	faces_e	1.8666916625035181	1.8727742782843968
top5	dsfaces	PRoV	cd	0.47073508359182503	0.4722689741135348
top5	dsfaces	PRoV	linksum	2.3389282498186286	2.3465496487719024
top5	dsfaces	PRoV	bafrec	2.0854250016935048	2.0922203601771483
top5	dsfaces	PRoV	kafca	0.876084350163205	0.8789390714868844
top5	dsfaces	PRoV	mpsum	1.562140784931202	1.5672310215145877
